,0,1
0,What type of competitors does the 1966 act help combat?,What kinds of competitors does the 1966 act help combat?
1,Was the landing successful?,A successful landing of aircraft?
2,Saint Helena has a high proportion of what kind of birds?,Saint Helena has a very high proportion of what kinds of birds?
3,What kind of glass exists in nature?,What kind of glass exist in nature?
4,What was traditionally left out of the madrasah curriculum?,What's traditionally left out of the madrasah curriculum?
5,What market value were gold coins traded in relation to?,What value were gold coins traded in relation to?
6,"In the United States, the film opened on 16 November of what year?","In the United States, the film opened on 16 November what year?"
7,What was Knorr's presidency marked by the increasing use of?,What's Knorr's presidency marked by the growing use of?
8,In which ways do dialects remain undistinguished? ,How do dialects remain undistinguished?
9,Who introduced the term biology to the scientific community?,Who introduced the term biological to the scientific community?
10,Which two Portuguese wines are especially enjoyed around the world?,Which two Portuguese wines are especially enjoyed in the world?
11,What does using migration as population control have no effect on?,What does using migration to use population control has no effect on?
12,In which year was the counteroffensive strategy first conceived?,In which year was counteroffensive strategy first conceived?
13,Who provided the contradictory population numbers for Irish abroad?,Who provided the contradictory population numbers for the Irish abroad?
14,What gives the federal government responsibility for international defense?,What gives the federal government responsibility for the defense of the international business of international defense?
15,What did a 2031 study reveal?,What did 2031 study reveal?
16,With what friend and former student did Whitehead not correspond regarding the goals of science?,What friend and former student did Whitehead not correspond regarding the goals of science?
17,Who was the author of the 1943 Plan for Plymouth?,Who was the author of 1943 Plan for Plymouth?
18,Where does the other 25 percent of fresh air go?,
19,What is another name for a fission/fusion bomb?,What is a different name for a fission/fusion bomb?
20,What was the official language of the Kingdom of Pontus during the reign of Mithridates VI Eupator?,What is the official language of the Kingdom of Pontus during the reign of Mithridates VI Eupator?
21,What repaired the Conservative government's reputation?,What reparated the Conservative government's reputation?
22,What county is Raleigh in?,What county is Raleigh within?
23,Bell implemented Gray's design as a what?,
24,Who ruled the Fujiwara family in Japan?,Who deruled the Fujiwara family in Japan?
25,What part of the Manhattan Project did Tennessee host?,What part of Manhattan Project did Tennessee host?
26, What was the lockout chip number for South Africa?,What was the lockout chip number for South Africa?
27,What did Mildred Burke form?,What exactly did Mildred Burke form?
28,What is the Sangha?,What is the Sangha of St?
29,What is the largest private foundation in America?,
30,What feature of the Xbox 360 collapsed?,What features of the Xbox 360 collapsed?
31,At which two establishments was the last of these performances conducted at on 25 and 26 April 1841?,At which two establishments was the last of these performances of 25 and 26 April 1841 performed?
32,How many centralised businesses does Shell have?,How many centralised business is Shell business?
33,Who holds TV distribution rights to Paramount's post-1949 releases?,Who holds television distribution rights to the posts-1949 releases of Paramount?
34,Where is the Joint Multinational Training Center located?,Where is joint multinational training center?
35,The PV industry has seen drops in module prices since what year?,The PV industry has seen drop in module prices since what year?
36,When did the BeiDou-2 system start offering services?,Quand did BeiDou-2 set a start out offering services?
37,Who signed the decree suspending the Communist Party of the Russian SFSR?,Who signed the decree suspended the communist party of the Russian SFSR?
38,Which language is considered to be it's only Sardinian language family?,Which languages are considered to be it's only Sardinian language family?
39,"What spatial aspects are Canada, France, Germany, Italy, Japan, the United Kingdom and the United States a part of?","What spatial aspects is Canada, France, Germany, Italy, Japan, the United Kingdom and the United States a part of?"
40,What kind of companies does Pennies search for to partner with?,What kind of companies does Pennies seek for to partner?
41,Who were three Chicago blues players who influenced hard rock?,Who are three Chicago blues players who influenced hard rock?
42,What was Whitehead's belief about God in relation to religion?,What is Whiteheads belief about God in relation to religion?
43,In how many FIFA world cups has England appeared?,How many FIFA world cup matches has England been?
44,Which president vetoed six bills?,Which president vetoed 6 bills?
45,What is the population of near by municipalities?,What is the population of by municipalities near by?
46,What position was not being contended during the Western Schism?,What position was not in the being contended during the Western Schism?
47, What part of Zhejiang is not a center of aquaculture in China?,What part of Zhejiang is not a center of aquaculture in China?
48,Many post modern designs feature classic elements in what way?,Many postmodern styles feature classic elements in what way?
49,What year did China and Japan reach a stalemate?,What year did China and Japan reach stalemate?
50,How many Pulitzer Prize laureates attended the Medill School of Journalism?,How many Pulitzer Prize laureates attend the Medill School of Journalism?
51,"There is another part of the face which gets its red color from the pigment pheomelanin, what is it?","There is an other part of the face which gets its red color from the pigment pheomelanin, what is it?"
52,When was the Treaty of Versailles signed?,When did the Treaty of Versailles was signed?
53, What is the teacher enrollment of Rice University?,What is the teacher enrollment of Rice University?
54,What overlooks the bay of Montevideo?,
55,What cabinet agency did Eisenhower make Social Security a part of?,What Cabinet agency did Eisenhower make Social Security?
56,What is the oldest form of Anglo-Saxon?,
57,What term describes the nature of how the university is partially funded?,What term describes the nature of how the university is partially funded by a university?
58,What is the purpose of the resettlement of residents?,What is the purpose of the resettlement of resident?
59,When was that article published?,When did he article published?
60,What was wrong with Edward marrying Wallis Simpson?,What's wrong with Edward marrying Wallis Simpson?
61,Who show the 2011 final? ,Who is on top of the 2011 final?
62,What replaced the holocene megafauna?,What a replacement is the holocene megafauna?
63,What century had no wars?,What century did not have wars?
64,What did Seattle call itself at the time of the Goodwill Games?,What did Seattle call when it was at the time of the Goodwill Games?
65,What sea was created by the Alps?,What sea was formed by the Alps?
66,Which politicians donated funds to establish the Royal College of Chemistry?,Which politicians donated funds to establish the Royal College of Chemistry and which politicians were endorsed by the Royal Academy of Chemistry (or an approved scientific undertaking?
67,On what date did Breeder Reactor I first make electricity?,On what date did Breeder Reactor I first create electricity?
68,What is the model of communication in which the sender and receiver are connected reciprocally called?,What is the model of communication in which the sender and receiver are reciprocally linked called?
69,When did Armenia reject the referendum proposing the retention of the Soviet Union?,When did Armenia reject the referendum proposing the retainment of the Soviet Union?
70,Which bishop carries an actual right to the cardinalate?,Which bishop holds actual right to the cardinalate?
71,What band was lead singer John Bonham from?,What band was the lead singer John Bonham from?
72,How could the locomotives run on four speed levels?,How could the locomotives operate on four speed levels?
73,In what year did the New Haven Black Panther trials take place in New Haven?,In what year has New Haven Black Panther trials took place in New Haven?
74,What was measured in the early 20th century?,What was measured at the beginning of the 20th century?
75,"The scientific revolution contributed to what, in terms of science?","The scientific revolution added to what, in terms of science?"
76,Where are BJT amplifiers most commonly used?,Where are the BJT amplifiers most commonly used?
77,How can you tell who has stopped smoking and who hasn't?,How can you tell who stopped smoking and who has not?
78,How did the schoolboys stop Maclean?,How did schoolboys stop Maclean?
79,What is the Public School number that interrupts East 5th Street?,What's the public school number that interrupts East 5th Street?
80,How many museums does the Palais Rohan hold? ,How many museums does Palais Rohan hold?
81,What is the names of Scotland's two smallest teams?,What is the name of Scotland's two smallest teams?
82,What is the Royal Gold Medal awarded for?,What's the Royal Gold Medal awarded for?
83,How much land does the ecoregion cover?,How much land does the ecoregion cover in mainland Australia?
84,Atari created NES products under which name?,Atari produced NES products under which name?
85,Who were the next settlement of people on Norfolk Island restricted from?,Who was the next settlement of people on Norfolk Island restricted from?
86,Which model is of federalism is similar to the federalism model in Australia? ,Which model of federalism is similar to the federalism model in Australia?
87,Who identified the inactive substance?,Who identified the active substance?
88,Upon what are kings of Scots coronated?,Upon what have kings of Scots been coronated?
89,What people lived in river region of Arabia?,what people lived at river region of Arabia?
90,During what years was the Aztec Empire conquered?,During what years were the Aztec Empire conquered?
91,What is the name of the British district in Mewar?,What is the name of British district in Mewar?
92,Where did NATO begin naval operations after 2002?,
93,What unit was used in the DIN to express speeds? ,What unit is used in DIN to express speeds?
94,In what foreign country did Dell open plants in 1996?,In what foreign country did Dell open its first plants in 1996?
95,What is the highest dam in the world?,What is the highest dam on earth?
96,How many of the vehicles will be used for training?,How many vehicles will be used for training?
97,How can jeopardy opinions be dissuaded?,How can opinions about jeopardy derogations be dissuaded?
98,"According to the Association of Religion Data in 2010, what percentage of Alaskans are members of a relgious congregation?","according to the Association of Religion Data in 2010, what percentage of Alaskans are members of relgious congregation?"
99,"Who, in 2007, frustrated Elizabeth?",Who (in 2007 frustrated Elizabeth?
